category,keywords,question,answer
행정,출결,입퇴실 QR코드를 개인적으로 보관해도 될까요 ?,QR코드는 훈련기관에서 제공을 하는 것이므로 개인 소지가 절대적으로 불가합니다. 개인 소지 및 사용으로 발생하는 모든 불이익은 당사자에게 있습니다. 
행정,단위기간,단위기간이 무엇인가요?,"단위기간은 교육 시작을 기점으로 1달을 말합니다.
예를 들어 1월5일 개강시 1월 5일부터 2월 4일까지가 첫 번째 단위기간이 됩니다."
운영,출결,수업에 꼭 줌 참여를 해야하나요?,"네, 수업이 진행되는 9시부터 18시까지 꼭 줌에 참여해주셔야 합니다.
줌은 수업 송출용도로도 사용되지만 수강생들의 출석 체크로도 사용되는 중요한 툴입니다.
쉬는시간과 점심시간 외 줌에 참여를 하지 않으시거나 캠을 끄시면 결석/지각 처리가 되며,
훈련장려금 부정수급까지 연결될 수 있는 중요한 사안입니다."
행정,훈련장려금,훈련장려금은 얼마인가요?,"훈련장려금은 하루 수업을 모두 참여시 일일 15,800원이 지급됩니다.
다만 지각/조퇴/외출/결석시 15,800원의 훈련장려금 지급이 어려우며,
월 별 훈련장려금은 단위기간 별 ""정상 출석일 * 15,800원""으로 계산합니다."
행정,출결,병원 방문시 처방전은 서류 인정이 어려운가요?,"처방전은 서류 인정이 어렵습니다.
질병명 혹은 질병코드가 기재된 진료확인서, 입퇴원 확인서, 진단서로 제출 부탁드립니다."
운영,녹화본 제공,"익일 지각/외출/조퇴/결석 예정인데, 녹화본 제공이 가능한가요?","멋쟁이사자처럼 부트캠프는 실시간 온라인 강의로 진행되기 때문에, 녹화본 제공은 
따로 진행되지 않습니다. 강사님이 올려주신 교안 확인 부탁드립니다."
행정,"출석부, 수강증명서",실업급여 제출용으로 급해서 그러는데 오늘 중으로 발급 가능한가요?,"해당 내용은 멋쟁이사자처럼 교육행정 디스코드 서버에서 훈련생 분이 수강하고 있는 부트캠프
카테고리에서 서류요청 란에 작성해주셔야 합니다. 원칙적으로 영업일 기준 2-3일 이전에
작성해주셔야 합니다."
행정,출결,퇴실 QR 안 찍었는데 정정 가능한가요?,"우선, 원칙적으로 개인부주의 항목에 해당하기 때문에 불가능합니다.

다만 1단위기간인 경우 (개강 이후 1개월 이내) QR 미숙 건으로 정정신청이 가능합니다.
정정 증빙자료로는 훈련생 분이 해당일 입실/중간/퇴실 스크린샷에 눈•코•입 이 모두 명확하게 나와야하며, 09:00 - 18:00 줌 접속기록이 필요합니다."
행정,출결,실업급여 서류 제출 방문 / 국취제 서류 제출 방문으로 인한 부재는 공가신청이 가능한가요?,해당 내용은 공가신청이 불가능합니다. 자세한 사항은 OT 때 안내드린 공가인정신청표를 확인해주세요.
운영,LMS,"프로젝트 제출 이후 수정 건이 생겨, 링크를 수정하고 싶습니다. 가능할까요?","네, 가능합니다. 자세한 사항은 수강하고 있는 부트캠프 담당 매니저 님에게 문의 부탁드립니다."
행정,출결,졸업식도 공결신청이 가능한가요?,"졸업식은 공결인정 사유에 포함되지 않으며, 휴가신청이 가능한 과정에서는
휴가신청 후 다녀올 수 있습니다. 휴가가 없는 과정의 경우, 공결 불인정되니 참고 부탁드립니다."
행정,출결,"금요일에 조모상을 당했습니다. 공결인정이 3일이라고 나와있는데, 차주 월~화까지 공결로 인정되나요?","조모상의 경우, 공결은 사유발생일로부터 3일까지 인정됩니다. 단, 주말은 기산하지 않으므로
차주 월요일부터는 공결로 인정되지 않습니다."
행정,훈련장려금,훈련장려금은 언제 받을 수 있나요?,"훈련장려금은 해당 과정의 단위기간 마감일을 기준으로 지급까지 2주에서 3주 가량 소요됩니다
1단위기간의 경우, 확인할 사항이 많아 시간이 다소 소요될 수 있다는 점 참고 부탁드립니다."
행정,훈련장려금,현재 재학생 맞춤형 고용서비스 사업에 참여 중입니다. 훈련장려금 받을 수 있을까요?,"재학생 맞춤형 고용서비스(일명 점프업프로젝트, 빌드업프로젝트)에 참여 중이면서 수당을 지급받고 있는 경우에는
훈련장려금과 중복이 불가합니다. 단, 학교측에서 발급해주는 참여확인서 상에 해당 과정 훈련기간 중 어떠한 수당도 지급받지 않았다는 사실이 증빙되면 훈련장려금 지급이 가능합니다."
행정,훈련장려금,사업체를 정리했습니다. 훈련장려금을 받을 수 있을까요?,"현재 시스템 상에 (영세)자영업자로 등록된 경우, 사업자등록증을 갖고 있다는 것만으로도 훈련장려금이 부지급 처리 됩니다.
단, 사업체를 정리하여 폐업사실증명원을 제출하면 폐업일 이후부터 일할계산되어 지급이 가능합니다."
교육,줌,웹캠이 필요한가요? 꺼놔도 되나요? (멋사에서는 당연하다고 생각하여 상페에 웹캠구비 안써있음),오프라인과 동일하게 진행하는 온라인 수업이기때문에 '개강 전' 반드시 웹캠은 구비하셔야 하고 불가할 시 폰이나 태블릿 으로라도 접속을 해야 함을 안내
교육,줌,강의 수강용 PC랑 실습용 데스크탑 두개로 줌 접속해도 되나요?,수강용 PC를 별도로 둘 경우 줌 접속은 '홍길동 - 수강용'으로 접속해 달라고 답변
교육,줌,쉬는 시간에 카메라 꺼도 되나요?,"된다고 답변 다만, 모든 수업시간에는 얼굴 노출 필수를 안내"
교육,강의자료,교재 배송받은거랑 강의내용이 다른데요?,"배송된 교재는 참고자료로 사용하는 용도이며, 주 강의자료는 주강사님이 작성해주시는 내용으로 강의합니다."
교육,질의응답,수업 마치고 궁금한거 생기면 디코에 물어봐도 되나요?,수업관련 문의는 수업시간 이내를 활용해 주세요. 야간 답변은 어렵습니다.
교육,LMS,"평가, 설문, 프로젝트 제출 기간 지난 후에 다시하고 싶어요.",기간이 지난후는 불가 함을 안내
기타,수료생 DB,훈련생/수료생 DB 설문조사에 꼭 응답해야 하나요?,"수료생 DB 설문조사는 수료 후 취업 연계 프로그램 운영을 위한 중요한 기초 자료일 뿐만 아니라, B2B 채용 연계 진행에 있어 꼭 필요한 정보를 취합하는 절차입니다.
따라서, 다소 번거로우시더라도 설문조사 내 모든 항목에 대해 정확하게 응답해주시면 감사하겠습니다."
기타,특강,"이력서, 자기소개서, 포트폴리오 작성 방법을 알려주실 수 있나요?","2025년 2월 현재 멋사 KDT 수료생을 위한 서류/면접 전형 준비 방법 특강 VOD 자료를 준비 중에 있습니다.
해당 자료가 준비되는대로 각 교육과정별 디스코드 및 수료생 디스코드(세렝게티)를 통해 관련 사항을 별도 공지 드릴 예정입니다."
기타,상담,"서류 전형, 면접 전형 준비 과정에서 커리어 코치님의 상담을 받을 수 있나요?","2025년 2월 현재 멋사 홈페이지 내 LMS 시스템을 활용한 상담 프로그램 신설을 준비하고 있습니다.
해당 프로그램 운영이 시작되는대로 각 교육과정별 디스코드 및 수료생 디스코드(세렝게티)를 통해 공지 드릴 예정입니다."
기타,채용 연계,멋쟁이사자처럼 KDT 수료생을 위한 채용 연계 프로그램도 있나요?,"멋사 KDT 수료생을 위해 다양한 회사를 대상으로 채용 연계 기회를 발굴 중에 있으며, 신규 포지션 오픈 시 개별 공지를 진행하고 있습니다.
따라서, 개별 공지 시 빠르게 지원 절차를 진행할 수 있도록 언제든지 제출 가능한 이력서/자기소개서/포트폴리오를 준비해주시길 부탁 드립니다."
기타,인턴십,멋쟁이사자처럼 KDT 수료생만을 위한 인턴십 프로그램도 있나요?,"멋사 KDT 부트캠프 중 일부 과정은 수료생 전용 크로스 도메인 인턴십 프로그램을 운영 중에 있습니다.
구체적인 운영 시기/형태는 기수별로 다르기 때문에 구체적인 사항은 개별 안내 시 해당 공지 내용을 참조해주시면 감사하겠습니다."
기타,세렝게티,취업 지원 프로그램 소식은 어디로 공지되나요?,"커리어팀 시행 취업지원 프로그램의 경우, 멋사 KDT 수료생 커뮤니티인 디스코드 세렝게티 채널을 통해 가장 우선적으로 공지하고 있습니다.
향후 다양한 취업 관련 정보도 세렝게티를 통해 공지할 예정이니 KDT 부트캠프 수료 후에는 꼭 세렝게티에 가입해주시길 부탁 드립니다.
(디스코드 세렝게티 가입 주소 : KDT 부트캠프 수료 시 각 교육과정 담당자를 통해 안내)"
행정,출결,해당 과정에는 휴가가 있나요? 매일 수업이 진행되는 건가요?,"휴가는 교육 기간 6개월 이상 진행되는 과정에 한하여 한 달에 한 개씩 사용할 수 있습니다.
자세한 사항은 담당 교육 매니저님께 문의하여 주세요."
교육,다시보기 제공,복습을 하고 싶은데 다시보기 제공이 되나요?,KDT 지침 상 다시보기 제공이 어렵습니다. 꼭 해당 교육 시간에 출석하여 교육을 들어주세요.
기타,노트북 대여,노트북 대여는 어떻게 이루어지나요?,개강일 기준 일주일 이내로 노트북 대여 신청을 받아 신청자에 한하여 대여해드리고 있습니다.
교육,오프라인 공간 대여,상세페이지 내에 있는 오프라인 공간 대여는 무엇인가요?,프로젝트 기간에 신청 조에 한하여 오프라인 공간을 대여해드리고 있습니다. 자세한 문의는 담당 교육 매니저에게 문의하여 주세요.
행정,교재 수령,교재는 언제 받을 수 있나요?,(운영계획서 상 교재가 있는 과정의 경우에만 해당) 교재는 개강일 기준 일주일 이내로 주소를 취합하여 배송해드리고 있습니다. 자세한 문의는 담당 교육 매니저에게 문의해주세요.
